,Total,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla-La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja
28/02/20,16,5,1,0,0,0,0,0,2,1,0,6,0,0,1,0,0,0,0,0
29/02/20,12,2,0,0,1,0,0,0,0,2,0,2,0,0,3,0,0,0,2,0
01/03/20,22,4,-1,1,0,1,1,1,1,1,0,5,4,0,2,0,0,1,1,0
02/03/20,48,0,0,0,0,0,9,2,0,9,0,0,2,0,19,0,0,0,6,1
03/03/20,36,1,0,0,0,0,0,4,5,0,0,0,0,0,20,0,0,0,4,2
04/03/20,48,0,0,1,3,0,0,5,3,0,0,4,0,1,21,0,0,2,4,4
05/03/20,39,-1,1,3,1,1,0,1,0,9,0,0,0,0,20,0,0,0,0,4
06/03/20,128,9,5,0,0,3,0,2,3,0,0,11,0,2,47,0,0,0,28,18
07/03/20,65,6,5,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,0,10
08/03/20,159,8,2,2,2,-1,2,0,8,25,0,7,0,2,28,0,1,0,57,16
09/03/20,410,19,0,0,3,5,0,11,1,26,0,0,1,1,267,0,3,0,47,26
10/03/20,623,17,25,15,2,3,0,13,33,49,0,13,1,16,313,0,5,9,46,63
11/03/20,506,19,7,10,3,12,0,32,15,32,0,15,1,17,242,0,2,34,30,35
12/03/20,822,25,19,15,6,14,4,44,21,104,0,11,10,-4,364,0,15,27,121,26
13/03/20,1259,104,16,20,8,19,13,79,77,56,0,18,20,50,602,2,9,57,71,38
14/03/20,1544,50,0,25,-2,20,2,95,54,193,0,36,27,30,950,1,12,16,0,35
15/03/20,2000,168,67,45,0,19,20,112,69,206,1,279,29,80,604,5,24,37,213,22
16/03/20,1438,117,27,40,45,10,7,166,42,188,0,0,16,50,621,0,6,91,0,12
17/03/20,1987,129,33,16,19,29,0,0,97,491,0,132,42,47,706,9,20,39,135,43
18/03/20,2538,176,19,49,20,33,10,108,237,472,0,185,41,49,766,3,25,73,208,64
19/03/20,3431,149,55,50,57,39,15,126,200,836,0,195,47,112,1140,3,45,96,217,49
20/03/20,2833,279,79,52,34,67,61,243,279,568,4,184,56,125,388,1,37,72,275,29
21/03/20,4946,228,64,142,43,61,71,379,319,933,0,258,57,161,1756,1,36,110,260,67
22/03/20,3646,210,108,59,85,66,67,396,278,501,0,241,30,176,781,0,56,130,372,90
23/03/20,4517,236,106,49,69,67,65,259,311,1221,1,297,109,293,873,3,49,92,324,93
24/03/20,6584,510,120,68,78,76,78,387,405,1939,0,266,143,207,1777,0,40,128,307,55
25/03/20,7937,539,149,117,84,100,85,315,480,2073,3,449,106,238,2245,10,92,183,543,126
26/03/20,8578,396,209,62,98,127,161,603,548,1655,1,584,227,262,2569,1,119,214,675,67
27/03/20,7871,387,222,59,95,94,139,551,644,1348,7,332,262,407,2077,3,118,230,655,241
28/03/20,8189,484,254,104,107,147,127,578,659,1323,0,502,163,450,2277,3,88,188,535,200
29/03/20,6549,405,266,84,96,100,86,734,623,763,4,750,62,367,1157,3,70,182,604,193
30/03/20,6398,723,220,70,42,79,77,612,387,1131,4,326,104,584,1413,3,67,135,317,104
31/03/20,9222,413,194,78,69,58,71,566,410,2616,9,398,68,316,3419,3,35,159,263,77
01/04/20,7719,574,219,86,62,118,42,623,636,1218,17,414,51,393,2331,8,67,192,518,150
02/04/20,8102,580,209,62,73,64,55,635,508,1813,4,386,158,410,2315,0,43,185,479,123
03/04/20,7472,402,189,49,53,46,53,841,520,1656,7,316,56,377,2033,8,61,154,510,141
04/04/20,7026,189,89,14,74,63,801,457,1274,11,7,86,406,291,9,43,136,360,181,126
05/04/20,6023,432,154,83,22,58,57,707,417,1298,10,283,68,319,1335,4,47,101,441,187
06/04/20,4273,280,115,41,27,27,42,571,367,792,0,150,21,207,1139,3,24,158,182,127
07/04/20,5478,186,102,33,49,76,18,475,465,1499,0,109,48,180,1746,6,24,124,211,127
08/04/20,6180,230,100,26,43,37,71,711,477,1324,1,212,68,207,1981,1,43,112,431,105
09/04/20,5756,264,136,32,36,72,47,701,460,1396,0,309,89,220,1427,0,30,108,354,75
