CCAA,Total,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla-La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja
04/03/20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
05/03/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
06/03/20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
07/03/20,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
08/03/20,9,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
09/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/20,18,0,1,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,1,1
11/03/20,12,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
12/03/20,37,0,2,1,1,0,0,1,0,1,0,0,1,0,25,0,0,0,5,0
13/03/20,36,0,1,0,0,0,0,4,1,0,0,0,0,0,25,0,0,0,3,0
14/03/20,16,2,0,0,0,1,0,1,2,2,0,3,1,0,5,0,0,0,0,1
15/03/20,152,4,0,0,0,0,0,4,3,2,0,1,0,2,127,0,0,0,9,0
16/03/20,21,1,4,0,0,0,0,7,3,4,0,0,0,0,0,0,0,1,0,1
17/03/20,182,4,1,0,0,1,0,0,3,6,0,8,1,1,142,0,0,1,13,1
18/03/20,107,8,1,0,0,1,1,11,10,23,0,9,3,0,35,0,0,1,4,0
19/03/20,169,4,2,0,1,0,0,14,7,14,0,2,2,1,108,0,0,1,13,0
20/03/20,235,7,2,1,0,1,0,0,14,27,0,9,2,1,130,0,0,1,18,2
21/03/20,324,10,5,3,2,3,1,42,12,40,0,17,2,4,176,0,1,4,14,8
22/03/20,394,7,2,3,0,2,3,28,19,69,0,19,2,3,217,0,0,5,12,3
23/03/20,462,11,8,4,6,2,1,33,28,54,0,25,4,6,242,0,1,10,23,4
24/03/20,514,29,5,10,0,5,3,71,22,37,0,21,8,2,272,0,1,7,13,8
25/03/20,738,26,3,3,3,5,5,47,41,234,0,28,13,7,290,0,2,2,22,7
26/03/20,655,21,8,2,4,3,3,53,41,156,0,24,19,5,265,1,3,16,25,6
27/03/20,769,10,10,2,5,3,4,51,46,208,0,31,11,11,322,0,7,9,27,12
28/03/20,832,31,0,4,4,9,1,81,69,190,1,36,19,4,345,0,2,12,14,10
29/03/20,838,32,35,8,3,3,4,91,59,156,0,33,12,13,325,0,3,14,44,3
30/03/20,812,29,13,8,8,1,1,83,62,184,0,43,6,6,310,0,5,18,32,3
31/03/20,849,12,32,6,5,15,10,86,74,262,0,29,27,18,211,0,9,11,28,14
01/04/20,864,60,31,8,4,7,17,66,69,177,0,56,19,19,262,0,3,17,44,5
02/04/20,950,35,31,6,12,6,6,80,56,244,0,48,29,17,310,0,5,11,43,11
03/04/20,932,33,24,1,11,5,4,62,82,242,0,68,19,18,308,1,4,10,32,8
04/04/20,809,50,27,6,2,5,4,73,63,173,0,60,8,21,240,0,5,20,33,19
05/04/20,674,44,19,4,4,2,0,66,61,129,1,42,10,15,218,0,8,7,38,6
06/04/20,637,21,14,6,6,5,9,77,72,123,1,24,10,16,195,0,9,9,33,7
07/04/20,743,37,28,10,3,4,8,45,63,148,1,35,30,14,235,0,10,15,38,19
08/04/20,757,77,37,6,5,2,7,78,46,133,0,52,13,9,215,0,7,4,49,17
09/04/20,683,47,36,8,0,1,6,67,54,107,0,43,12,18,214,0,3,8,54,5
10/04/20,605,39,24,11,8,2,4,109,47,83,0,29,5,12,172,0,2,4,40,14
11/04/20,510,46,16,7,5,1,5,52,51,100,0,22,15,18,112,0,4,9,36,11
12/04/20,619,62,25,12,10,0,3,60,41,111,0,20,9,13,194,0,3,5,39,12
13/04/20,517,16,14,9,5,1,7,83,42,96,0,38,9,10,145,0,4,7,27,4
14/04/20,567,21,28,7,1,6,3,88,36,128,0,31,13,6,145,0,5,10,28,11
15/04/20,523,29,22,10,7,2,12,41,38,90,0,38,8,9,156,0,3,3,43,12
16/04/20,551,47,29,2,6,3,5,41,35,99,0,27,17,11,153,0,2,9,54,11
17/04/20,348,28,19,6,3,4,7,56,29,134,0,27,13,10,130,0,1,77,36,5
18/04/20,565,27,39,13,14,4,5,61,28,127,0,43,8,14,125,0,3,16,28,10
19/04/20,410,26,18,9,7,4,4,50,29,54,0,23,4,12,107,0,1,15,42,5
20/04/20,399,20,18,4,2,0,5,58,35,76,0,14,5,6,112,0,1,16,19,8
21/04/20,430,4,6,2,4,1,7,54,28,143,0,10,8,8,109,0,3,12,22,9
22/04/20,435,33,13,9,3,1,2,65,33,95,0,17,7,8,117,0,3,4,21,4
23/04/20,440,29,25,12,4,0,6,48,28,96,0,18,3,7,107,0,1,8,43,5
24/04/20,367,28,14,8,4,7,5,67,30,50,0,23,4,7,81,0,1,8,26,4
25/04/20,378,24,14,8,2,2,4,37,27,105,0,25,5,6,83,0,1,12,19,4
26/04/20,288,14,3,10,1,1,1,38,27,68,0,14,6,6,74,0,1,2,18,4
27/04/20,331,12,14,4,4,0,3,35,24,133,0,3,6,11,64,0,1,1,11,5
28/04/20,301,11,9,8,2,2,2,31,20,109,0,11,5,7,62,0,2,0,14,6
29/04/20,325,20,1,5,4,1,3,40,26,97,0,18,7,7,57,0,0,16,19,4
30/04/20,268,19,3,7,3,1,0,27,16,70,0,18,6,0,71,0,0,3,22,2
01/05/20,281,31,10,0,5,1,1,35,18,86,0,9,5,8,46,0,2,7,16,1
02/05/20,276,15,12,6,4,4,1,36,18,76,0,13,7,2,70,0,0,2,9,1
03/05/20,164,3,0,1,0,0,2,31,12,48,0,6,2,6,40,0,2,2,8,1
04/05/20,164,7,1,4,0,1,2,25,18,35,0,5,0,6,44,0,0,4,12,0
05/05/20,185,4,8,0,1,1,1,26,14,50,0,10,2,4,44,0,4,5,12,1
06/05/20,244,14,18,3,1,1,1,31,15,75,0,12,1,9,46,0,0,5,11,1
07/05/20,213,13,12,5,2,1,1,30,17,49,0,12,4,4,38,0,1,4,19,1
08/05/20,229,7,15,0,1,4,1,36,12,77,0,6,5,2,48,0,0,4,7,4
09/05/20,179,16,8,1,5,0,0,25,9,36,0,6,5,3,46,0,1,3,13,2
10/05/20,143,3,1,2,2,0,0,21,12,25,0,8,3,1,46,0,1,1,15,2
11/05/20,123,2,1,4,0,1,0,27,8,23,0,7,3,1,39,0,0,2,5,0
12/05/20,176,4,3,5,1,2,2,25,9,66,0,6,4,2,37,0,0,3,6,1
13/05/20,184,6,1,3,5,0,2,24,5,71,0,5,2,2,40,0,3,1,13,1
14/05/20,217,4,7,1,1,0,0,17,6,131,0,8,3,4,19,0,0,4,12,0
15/05/20,138,8,1,2,0,0,1,18,5,59,0,9,2,0,30,0,1,2,0,0
16/05/20,102,11,1,3,0,0,0,13,10,33,0,7,3,1,17,0,1,1,1,0
17/05/20,87,3,0,2,2,0,1,10,6,29,0,1,3,2,21,0,0,2,4,1
18/05/20,59,0,0,2,0,2,0,5,7,12,0,4,0,1,16,0,1,0,7,2
19/05/20,83,0,5,,1,2,1,2,7,25,0,0,4,0,31,0,0,0,4,1
