CCAA;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26
Andalusia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,74;1,37;1,26;1,61;2,21;2,28;2,33;2,64;2,72;2,96;3,52;3,75;3,93
Aragó;;0,00;0,00;;;;;0,00;16,67;9,09;15,38;15,38;7,89;8,89;9,38;8,75;8,75;4,76;6,32;5,80;5,75;5,34;4,72;5,19;4,51;5,02;4,88;4,41;4,30
Astúries;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,13;1,49;1,09;0,73;0,56;0,52;0,41;0,34;0,58;1,03;1,47;2,02;3,32;3,21;3,21
Balears;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,55;3,33;3,57;3,57;1,37;1,09;0,89;1,18;0,99;1,63;1,21;2,50;2,09;2,31;2,58
Canàries;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,11;0,92;0,84;1,35;1,66;1,36;1,39;2,01;2,17;2,29;2,87;3,20;3,06
Cantàbria;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,47;1,20;0,69;0,93;1,77;1,73;2,12;2,75;2,53
Castella-la Manxa;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,87;2,58;2,08;2,49;3,00;3,00;4,15;5,24;4,02;5,90;6,16;6,98;8,76;9,46;9,34
Castella i Lleó;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,59;1,35;2,05;2,69;2,78;3,29;3,34;3,75;3,75;4,24;4,96;5,04;5,61;5,91
Catalunya;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,17;2,04;1,33;2,42;1,92;1,54;1,27;1,18;1,12;1,33;1,29;2,20;2,04;2,51;2,90;4,06;4,14;3,59;5,19;5,80
Ceuta;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Valencià;0,00;0,00;0,00;0,00;0,00;0,00;5,26;5,26;3,33;3,33;2,70;2,70;2,00;1,54;1,32;1,06;3,08;1,22;1,22;2,40;3,03;2,61;2,99;3,67;4,30;4,94;5,31;5,47;5,22
Extremadura;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,26;2,56;3,03;2,11;1,80;1,96;3,09;3,32;3,37;3,39;3,65;3,65;4,09;5,26;5,99
Galícia;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,03;0,82;1,03;0,88;0,88;0,87;1,22;1,31;1,49;1,41;1,63;1,67
Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,11;1,46;2,30;3,96;1,71;2,69;3,03;4,03;4,07;2,93;6,01;5,11;7,29;6,92;7,35;8,76;9,01;10,52;11,94;12,43;12,50;12,18
Melilla;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,56
Múrcia;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,34;0,58;0,78;1,05;1,34
Navarra;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,36;0,64;0,78;0,83;0,90;1,36;1,76;2,71;3,06;2,76;3,47
país Basc;;;0,00;0,00;0,00;0,00;0,00;5,88;2,22;2,22;4,90;3,36;3,08;2,67;3,18;3,36;3,36;3,65;3,65;4,71;4,11;4,45;4,85;4,93;4,63;4,96;4,88;4,74;4,56
la Rioja;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,69;1,12;0,98;0,82;1,08;1,00;1,28;1,41;1,19;1,07;1,41;2,66;2,75;2,95;3,74;3,99;4,32
total;0,00;0,00;0,00;0,00;0,00;0,00;0,51;1,27;1,37;1,86;2,89;1,70;2,16;2,21;2,85;2,85;2,36;3,71;3,36;4,39;4,36;4,47;5,02;5,32;6,02;6,59;6,80;7,21;7,28
Girona;;;0,00;0,00;0,00;;0,00;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,97;0,75;1,10;1,81;4,30;3,89;5,16;4,53; ;5,01
