dia,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña,Extremadura,Galicia,La Rioja,Madrid,Murcia,Navarra,País Vasco
1,90,147,137,112,130,109,144,169,115,124,111,115,144,137,122,130,102
2,115,174,177,169,409,119,215,223,194,156,153,195,179,174,167,146,149
3,219,207,193,203,409,148,282,292,289,260,194,245,205,202,204,183,195
4,269,226,242,246,541,181,347,334,401,316,241,292,243,469,240,274,225
5,437,281,292,331,726,220,425,431,567,509,297,341,278,782,296,313,346
6,554,360,344,400,921,287,510,668,567,715,354,453,300,1024,345,386,417
7,683,424,486,478,1105,348,671,868,675,903,384,578,312,1388,385,482,417
8,859,532,545,562,1363,414,810,1147,801,1394,493,739,355,1990,477,554,630
9,1008,638,594,660,1604,481,937,1466,1044,1866,636,915,419,2940,596,664,630
10,1287,758,662,755,1901,557,1023,1744,1423,2702,742,1208,468,3544,714,794,765
11,1515,907,779,862,2167,657,1100,2055,1819,3270,969,1415,497,4165,802,886,973
12,1725,1116,841,958,2616,784,1171,2460,2078,4203,1231,1653,564,4871,872,1014,1190
13,1961,1338,900,1000,3200,878,1213,2940,2465,4704,1394,1915,654,5637,939,1197,1465
14,2471,1592,1004,1069,3532,1025,,3488,2780,5925,1456,2322,747,6777,974,1411,1725
15,3010,1858,1088,1131,4034,1125,,4132,3383,7864,1560,2772,802,7165,1041,1641,2097
16,3406,2078,1158,,4784,1204,,4791,3934,9937,1628,3139,928,8921,,1829,2421
17,3793,2272,1236,,5110,1262,,5414,4512,11592,1679,3723,995,9702,,2011,2728
18,4277,2491,1322,,5508,1380,,5801,5246,12940,,4039,1236,10575,,2146,3271
19,4682,,,,5922,,,6211,5858,14263,,4432,1436,12352,,2305,3946
20,5405,,,,,,,6847,6424,15026,,,1629,14597,,2497,4601
21,5818,,,,,,,,7047,16157,,,1733,17166,,,5136
22,6392,,,,,,,,,18773,,,1810,19243,,,5740
23,,,,,,,,,,19991,,,1960,21520,,,6057
24,,,,,,,,,,,,,,22677,,,6320
25,,,,,,,,,,,,,,24090,,,6838
26,,,,,,,,,,,,,,27509,,,
27,,,,,,,,,,,,,,29840,,,
28,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,
