CCAA,casos,UCI,muertos,altas
Andalucía,5405,216,236,155
Aragón,2078,156,106,174
Asturias,1158,60,49,78
Baleares,1000,80,37,100
Canarias,1204,84,40,32
Cantabria,1100,46,27,24
Castilla-La Mancha,5858,302,622,252
Castilla y León,5801,307,442,871
Cataluña,16157,1512,1410,4125
Ceuta,25,2,1,0
C. Valenciana,5110,336,310,185
Extremadura,1560,43,106,60
Galicia,3723,134,66,168
Madrid,24090,1460,3392,8301
Melilla,51,3,1,0
Murcia,939,58,25,17
Navarra,2146,96,102,161
País Vasco,6057,293,297,1646
La Rioja,1733,43,71,431
